,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9,chan_10,chan_11,chan_12,chan_13,chan_14,chan_15,chan_16,trig,timestamp
78,136003.436,91062.236,12559.579,-18000.217,23882.124,-9739.393,-19233.251,-12077.743,20564.722,17539.347,-45662.58,-40788.581,2305.717,-16736.964,9847.016,-4765.884,0.0,0.6239999999525025
79,136028.448,91080.632,12566.218,-17980.458,23895.021,-9726.563,-19854.116,-12066.746,20526.747,17444.642,-45649.415,-40787.307,2256.029,-16809.987,9851.777,-4774.891,0.0,0.6319999999832362
80,135995.412,91054.19,12541.564,-18010.924,23868.4,-9748.87,-19238.459,-12076.916,20555.245,17529.221,-45668.548,-40798.729,2296.821,-16747.022,9839.126,-4761.838,0.0,0.6399999999557622
81,136032.963,91091.204,12561.077,-17978.961,23895.356,-9716.303,-19813.771,-12062.32,20523.081,17453.024,-45657.528,-40786.301,2257.526,-16799.884,9837.092,-4769.773,0.0,0.6479999999864958
82,136023.351,91073.926,12545.788,-17998.318,23880.045,-9734.095,-19253.524,-12069.294,20549.724,17527.657,-45654.757,-40781.965,2296.463,-16741.881,9818.764,-4755.87,0.0,0.6559999999590218
83,136050.151,91092.791,12558.372,-17973.44,23908.588,-9700.858,-19771.973,-12061.247,20519.639,17467.732,-45653.192,-40788.827,2258.644,-16791.659,9842.546,-4773.841,0.0,0.6639999999897555
84,136016.936,91075.133,12545.833,-17999.122,23890.64,-9723.545,-19308.756,-12070.143,20545.522,17513.598,-45651.426,-40782.255,2287.701,-16752.23,9837.763,-4769.371,0.0,0.6719999999622814
85,136055.851,91100.525,12561.993,-17978.067,23905.817,-9709.061,-19698.056,-12068.266,20526.501,17483.043,-45665.776,-40801.701,2257.347,-16786.428,9838.88,-4773.461,0.0,0.6799999999930151
86,136037.746,91087.449,12556.048,-17990.651,23891.154,-9726.295,-19363.45,-12057.291,20543.31,17506.803,-45647.492,-40782.702,2284.08,-16759.472,9832.622,-4766.867,0.0,0.6879999999655411
87,136027.375,91110.091,12566.575,-17965.751,23903.336,-9707.541,-19624.094,-12054.698,20546.349,17510.982,-45658.221,-40790.213,2282.56,-16761.461,9831.839,-4775.249,0.0,0.6959999999962747
88,136023.977,91086.197,12565.838,-17974.468,23895.244,-9719.991,-19446.018,-12052.754,20544.047,17489.815,-45641.279,-40769.694,2280.66,-16763.719,9837.338,-4764.811,0.0,0.7039999999688007
89,136045.86,91092.97,12564.228,-17977.843,23892.987,-9721.042,-19560.079,-12069.495,20553.01,17517.442,-45662.066,-40784.289,2284.572,-16748.497,9833.359,-4782.402,0.0,0.7119999999995343
90,136043.669,91084.521,12562.53,-17982.381,23884.56,-9732.151,-19528.049,-12058.341,20530.167,17472.202,-45643.626,-40769.358,2267.003,-16780.527,9823.413,-4778.222,0.0,0.7199999999720603
91,136062.646,91100.122,12567.581,-17953.681,23898.195,-9718.248,-19480.73,-12059.951,20561.414,17534.094,-45662.647,-40779.171,2295.971,-16738.64,9833.27,-4783.832,0.0,0.728000000002794
92,136044.161,91082.576,12565.48,-17969.305,23890.126,-9733.358,-19604.022,-12055.927,20537.118,17463.239,-45642.441,-40755.791,2271.675,-16778.449,9829.537,-4770.645,0.0,0.73599999997532
93,136052.945,91085.996,12564.519,-17962.376,23890.55,-9732.464,-19396.419,-12072.557,20562.51,17534.519,-45676.796,-40779.528,2300.039,-16732.091,9828.643,-4790.046,0.0,0.7440000000060536
94,136056.879,91093.886,12583.652,-17941.879,23904.9,-9724.059,-19680.264,-12055.346,20533.609,17453.002,-45645.526,-40743.453,2267.92,-16787.993,9820.932,-4782.446,0.0,0.7519999999785796
95,136041.68,91091.897,12577.483,-17945.009,23898.776,-9730.318,-19323.977,-12069.316,20578.245,17550.813,-45671.878,-40756.886,2318.055,-16722.703,9820.597,-4787.207,0.0,0.7600000000093132
96,136052.23,91088.656,12580.657,-17940.784,23899.089,-9734.296,-19752.661,-12050.34,20536.403,17443.57,-45649.392,-40736.568,2275.855,-16793.402,9832.443,-4787.922,0.0,0.7679999999818392
97,136042.864,91078.821,12568.162,-17948.987,23888.941,-9745.115,-19275.563,-12058.319,20574.691,17535.324,-45680.595,-40761.356,2319.686,-16724.38,9814.629,-4800.663,0.0,0.7759999999543652
98,136068.949,91093.596,12579.115,-17948.428,23901.1,-9733.358,-19804.495,-12041.555,20541.432,17439.502,-45648.498,-40736.524,2274.603,-16790.697,9817.288,-4795.679,0.0,0.7839999999850988
99,136053.66,91074.798,12561.435,-17960.588,23882.191,-9750.546,-19244.07,-12062.901,20576.904,17538.877,-45673.018,-40760.44,2318.502,-16719.328,9805.219,-4799.411,0.0,0.7919999999576248
100,136055.65,91096.166,12575.65,-17945.322,23898.217,-9733.782,-19840.973,-12046.361,20532.782,17431.477,-45645.794,-40739.273,2270.647,-16790.161,9813.735,-4805.916,0.0,0.7999999999883585
101,136051.023,91077.458,12559.803,-17961.884,23882.057,-9746.769,-19220.131,-12062.991,20570.221,17525.824,-45671.074,-40759.412,2315.887,-16722.614,9804.146,-4808.128,0.0,0.8079999999608845
102,136083.768,91110.158,12578.534,-17928.647,23908.096,-9717.264,-19835.206,-12039.7,20530.033,17440.954,-45655.114,-40743.542,2268.881,-16790.854,9798.714,-4797.176,0.0,0.8159999999916181
103,136050.196,91085.393,12565.055,-17953.435,23886.683,-9739.192,-19224.288,-12053.737,20578.826,17541.984,-45661.462,-40737.775,2325.632,-16708.756,9814.115,-4807.19,0.0,0.8239999999641441
104,136058.511,91100.48,12568.207,-17938.661,23893.59,-9727.613,-19821.281,-12048.238,20527.44,17456.265,-45667.81,-40749.197,2266.333,-16787.412,9804.459,-4803.792,0.0,0.8319999999948777
105,136043.043,91076.988,12555.824,-17960.521,23875.441,-9750.546,-19241.41,-12053.022,20561.66,17527.389,-45672.661,-40746.381,2312.668,-16727.733,9804.526,-4796.237,0.0,0.8399999999674037
106,136080.862,91094.758,12573.594,-17939.152,23897.099,-9728.418,-19787.686,-12047.076,20536.068,17463.105,-45661.306,-40746.627,2275.318,-16778.896,9803.386,-4804.083,0.0,0.8479999999981374
107,136045.77,91073.3,12568.028,-17963.65,23881.475,-9747.126,-19294.115,-12049.892,20563.113,17511.429,-45656.657,-40748.527,2311.036,-16732.561,9795.585,-4800.216,0.0,0.8559999999706633
108,136060.723,91097.574,12578.824,-17943.869,23897.166,-9731.637,-19737.864,-12050.764,20544.047,17471.71,-45661.216,-40758.63,2286.807,-16768.502,9797.194,-4805.983,0.0,0.864000000001397
109,136046.575,91076.206,12570.621,-17965.46,23880.023,-9752.401,-19345.39,-12059.772,20554.441,17493.414,-45654.623,-40756.148,2303.794,-16748.252,9795.54,-4809.403,0.0,0.871999999973923
110,136068.703,91101.866,12582.937,-17938.75,23899.312,-9724.171,-19671.793,-12058.766,20545.254,17482.015,-45670.738,-40768.934,2284.102,-16765.641,9802.134,-4821.562,0.0,0.8800000000046566
111,136069.15,91091.942,12579.763,-17955.357,23891.847,-9734.14,-19419.307,-12053.066,20553.189,17486.306,-45654.377,-40737.932,2294.004,-16750.107,9803.14,-4802.518,0.0,0.8879999999771826
112,136068.837,91105.666,12579.383,-17941.723,23898.44,-9726.563,-19594.031,-12062.454,20555.514,17504.098,-45676.259,-40759.546,2292.73,-16748.9,9804.19,-4823.931,0.0,0.8960000000079162
113,136057.55,91098.29,12581.104,-17953.882,23896.965,-9731.793,-19493.806,-12051.725,20549.233,17471.8,-45651.605,-40735.965,2286.047,-16760.746,9800.368,-4802.853,0.0,0.9039999999804422
114,136042.976,91116.171,12583.853,-17939.063,23906.956,-9719.857,-19512.112,-12058.699,20562.376,17516.727,-45681.981,-40764.732,2294.988,-16741.792,9799.854,-4817.024,0.0,0.9119999999529682
115,135967.852,91111.075,12587.832,-17949.077,23909.37,-9723.411,-19576.082,-12036.101,20558.732,17470.816,-45636.25,-40726.197,2293.267,-16758.153,9815.456,-4810.319,0.0,0.9199999999837019
116,135960.007,91120.91,12585.865,-17938.616,23915.785,-9715.409,-19438.195,-12044.528,20582.939,17538.587,-45666.111,-40760.172,2318.926,-16720.245,9802.76,-4824.982,0.0,0.9279999999562278
117,135955.983,91105.532,12581.953,-17949.434,23910.466,-9720.193,-19653.844,-12040.46,20559.023,17466.458,-45630.93,-40737.15,2294.518,-16765.909,9800.145,-4816.376,0.0,0.9359999999869615
118,135972.524,91113.019,12576.142,-17951.401,23909.728,-9715.745,-19363.294,-12053.379,20591.679,17548.533,-45656.992,-40765.514,2326.28,-16716.981,9805.04,-4821.808,0.0,0.9439999999594875
119,136012.287,91117.847,12582.87,-17947.557,23917.194,-9709.598,-19717.949,-12036.481,20550.708,17454.231,-45628.583,-40739.094,2282.359,-16775.521,9810.427,-4813.672,0.0,0.9519999999902211
120,136038.215,91137.45,12572.499,-17950.887,23907.225,-9719.321,-19290.114,-12056.643,20584.213,17548.645,-45665.977,-40759.144,2322.793,-16707.996,9800.592,-4826.166,0.0,0.9599999999627471
121,136076.951,91159.869,12593.219,-17934.079,23920.725,-9706.022,-19770.967,-12046.651,20538.012,17451.817,-45643.0,-40735.563,2271.407,-16780.706,9801.285,-4831.397,0.0,0.9679999999934807
122,136076.616,91132.041,12586.536,-17957.615,23910.555,-9718.896,-19239.175,-12053.625,20586.135,17561.989,-45661.976,-40748.012,2323.643,-16700.419,9789.841,-4850.127,0.0,0.9759999999660067
123,136084.349,91123.033,12597.756,-17960.767,23917.864,-9717.13,-19817.325,-12033.777,20546.685,17456.712,-45631.153,-40732.366,2279.52,-16769.821,9804.704,-4890.293,0.0,0.9839999999967404
124,136069.597,91094.289,12584.524,-17988.036,23900.296,-9739.236,-19214.252,-12046.629,20590.203,17554.3,-45653.818,-40752.237,2334.237,-16696.619,9803.833,-4941.01,0.0,0.9919999999692664
125,136113.317,91108.951,12613.447,-17977.352,23928.325,-9720.505,-19839.163,-12028.055,20547.668,17445.469,-45630.304,-40741.195,2290.16,-16773.285,9801.128,-5004.869,0.0,1.0
126,136092.932,91069.881,12600.505,-18030.124,23899.782,-9760.292,-19223.215,-12053.312,20591.723,17537.916,-45643.067,-40755.321,2342.731,-16704.196,9807.945,-5077.758,0.0,1.010999999998603
127,136110.747,91093.484,12634.413,-18020.759,23926.201,-9745.159,-19849.489,-12044.148,20551.2,17431.097,-45633.813,-40760.641,2290.07,-16784.439,9804.392,-5149.73,0.0,1.018999999971129
128,136069.396,91052.58,12618.856,-18076.169,23898.642,-9784.655,-19238.996,-12066.701,20587.454,17501.818,-45649.996,-40782.322,2331.823,-16730.929,9826.609,-5229.548,0.0,1.0270000000018626
129,136118.994,91077.592,12648.204,-18059.405,23927.744,-9763.287,-19812.407,-12061.426,20552.541,17417.105,-45647.358,-40794.906,2286.025,-16802.79,9834.075,-5299.375,0.0,1.0349999999743886
130,136032.404,91066.528,12642.102,-18080.192,23909.035,-9783.09,-19276.1,-12080.201,20582.492,17476.382,-45647.716,-40796.829,2325.431,-16755.851,9828.978,-5350.337,0.0,1.0430000000051223
